Party_Name,Chair,Founded,Telephone,Address,Member_Count
Cumhuriyet ve Adalet Partisi,Ahmet SEVİM,2021-04-15,,İvedik organize mah. 1354 cd. No: 85 / 3 Yenimahalle/ANKARA,20955
Sosyalist Emekçiler Partisi,GÜNEŞ GÜMÜŞ,2016-04-21,,Bayındır-2 Sk. No:45/7 Kızılay/ANKARA,27
Cumhuriyet ve İstiklal Partisi,Atakan BOZYAYLA,2020-08-10,,Gazi Mah. Silahtar Cad. No: 78 Yenimahalle/ANKARA,1037
Sosyalist Yeniden Kuruluş Partisi,Canan YÜCE,2013-06-26,0312 4177957,"Kavaklıdere Mah., Olgunlar Sok., Sedir Apt. 2/11 Çankaya/ANKARA",447
Çoğulcu Demokrasi Partisi,Faruk ARSLANDOK,2014-08-15,0312 418 81 88,Meşrutiyet Cad. Bayındır Bayındır 2 Sk. No:50/2 Kızılay Çankaya/Ankara,321
Şahlanış Partisi,Murat Altun,2022-01-10,,AYYILDIZ MAH. 1631 CAD. NO: 3/13 ELVANKENT ETİMESGUT/ANKARA,0
Demokrasi ve Atılım Partisi,Ali BABACAN,2020-03-09,,Mustafa Kemal Mah. 2158. Sok. No: 9 ÇANKAYA/ANKARA,177454
Tek Parti,Süleyman YAĞCIOĞLU,1998-10-23,0 (312) 285 03 73-74  - Fax: 0 (312) 911 68 60,Balgat Mah. 1416. Sok. No: 11 Balgat Çankaya ANKARA,2217
Demokrasi Zamanı Partisi,Düzgün Dilaver EREN,2016-05-09,229 36 62,Gazi Mustafa Kemal Bulvarı No:29/12 Kat:6 Kızılay/ANKARA,89
Toplumsal Özgürlük Partisi,Şilan SÜRMELİ,2020-03-09,,Süleyman Ayten Cad. Çiçek İş Merkezi No: 37/8 Mamak/ANKARA,143
Demokrat Parti,Gültekin UYSAL,1983-06-23,248 86 00,DR.SADIK AHMET CADDESİ N0:3 BALGAT/ANKARA,364444
Turan Hareketi Partisi,Varol ESEN,2014-07-02,-,Cinnah Cad. Orkide Apt. No: 43/9 Çankaya/ANKARA,291
Demokratik Bölgeler Partisi,Salihe AYDENİZ - Keskin BAYINDIR,2008-05-02,220 19 50,Oğuzlar Mahallesi Ceyhun Atuf Kansu Caddesi 1387. Sokak Dönek Apartmanı No:1 Daire: 5 Balgat/ANKARA,6796
Tuğra Partisi,Hatice ÇELİK İLKÖZEN,2021-06-28,,Oğuzlar Mah. Barış Manço Cad. 1388. Sok. No: 52/5-6 Balgat Çankaya/ANKARA,338
Demokratik Sol Parti,Mehmet Önder AKSAKAL,1985-11-14,212 49 50,FEVZİ ÇAKMAK CAD NO: 17 BEŞEVLER/ANKARA,27925
Türk Birliği Partisi,,2012-11-07,0312 365 00 99,Özalp Mahallesi Kırçiçeği Sokak No:2/4 Çankaya/ANKARA,28
Devlet Partisi,Yaşar Epçaçan,2020-11-12,,Korkutreis Mah. Necatibey Cad. NO: 13/10 Kızılay ÇANKAYA/ANKARA,0
Türkiye Ekonomi ve Kalkınma Partisi,Rahim OLUÇ,2014-09-01,-,Plevne Mah Fen İşleri Sk. Nurbahdat Sitesi No:6/3 Sincan/ANKARA,79
Devrim Hareketi,Erçin FIRAT,2020-11-18,,Kocatepe Mahallesi Meşrutiyet Caddesi No: 26/16 Çankaya/ANKARA,0
Türkiye İşçi Partisi,Erkan BAŞ,2017-11-07,0312 431 14 45,Vedat Dalokay Cad. 100/1 No:2 Çankaya/ANKARA,11122
Devrimci İşçi Partisi,Ömer Sungur SAVGAN,2007-09-07,-,Sağlık Mahallesi Mithat Paşa Caddesi No: 13/21 Çankaya/ANKARA,50
Türkiye İttifakı Partisi,Mehmet SAĞLAM,2020-12-24,,Oğuzlar Mah. Ceyhun Atuf Kansu Cad. 1379. Sok. Ema İş Merkezi No:19 İç Kapı NO:5/6 Balgat Çankaya/Ankara,1309
Devrimci Sosyalist İşçi Partisi,TUNA EMREN - ŞENOL KARAKAŞ,1997-04-25,0312 231 31 66,Konur 1 Sok 14/13 Kızılay/Ankara,89
Türkiye Komünist Hareketi,Aysel TEKEREK,2015-08-21,-,Kültür Mah. Yüksel Cad. No:34/14 Kızılay/ANKARA,1383
Doğru Parti,,2020-08-26,,Cemal Nadir Sokak No:20 Çankaya/ANKARA,1544
Türkiye Komünist Partisi,KEMAL İBRAHİM OKUYAN,1993-08-16,4172968,Kavaklıdere Mah. Kızılırmak Cad. No:13 Demet Apartmanı Daire:4 Çankaya/ANKARA,5149
Doğru Yol Partisi,Çetin ÖZAÇIKGÖZ,NA,0312 3909036,Kardelen Mahallesi 2042. Cadde Karme84 Sitesi No:5/13 (Dublexler) Yenimahalle/ANKARA,3700
Doğuş Partisi,Mahmut KARALAR,2021-04-05,,Doğantepe Mahallesi 1048. Cadde No:50/B Altındağ/ANKARA,1811
Türkiye Gençlik Partisi,Mesut KAPAR,2021-11-03,,NASUH AKAR MAH. 1403 SK. NO: 6 / 2 ÇANKAYA/ANKARA,0
Ebedi Nizam Partisi,Seyfettin KOÇAN,NA,229 97 83,GMK Bulvarı  Fevzi Çakmak 2. Sk. No:34/13 Kızılay/Ankara,83
Türkiye Yaşam Partisi,Deniz ÖZÇELİK,2020-12-24,,Öveçler 1322. cad. No:9/3-2 Çankaya/ANKARA,0
Emek Partisi,Selma GÜRKAN,NA,232 41 97-98,FEVZİ ÇAKMAK SOK NO: 15/5 KIZILAY/ANKARA,5058
Türkiye Sosyalist Partisi,,2023-08-14,,Cumhuriyet Mah. Mithatpaşa Cad. No: 36/3 Çankaya/ANKARA,NA
Emekçi Hareket Partisi,Hakan ÖZTÜRK,NA,232 41 97-98,BAYINDIR SOK 22/16 KIZILAY ANKARA,228
Türkiye Sosyalist İşçi Partisi,Turgut KOÇAK,1993-01-03,419 60 53,KARANFİL SK N0:24/16 KAT:5 KIZILAY/ANKARA,89
Ezilenlerin Sosyalist Partisi,Özlem GÜMÜŞTAŞ - Şahin TÜMÜKLÜ,NA,417 07 85,Mithatpaşa Cad. No:56/13 Kızılay/Ankara,471
Türkiye Uyanış Partisi,,NA,,ŞEHİT KUBİLAY MAH. 1741 SK. FATİH APT. NO: 8 / 4 KEÇİÖREN/ANKARA,NA
Gelecek Partisi,Ahmet DAVUTOĞLU,2019-12-12,,Mustafa Kemal Mahallesi 2127. Cadde No:7  - ÇANKAYA/ANKARA,76182
Türkiye'nin Sesi Altınçağ Partisi,Ayhan BİLGEN,2022-03-31,,SUKARNO CD. NO: 4 / 6 ÇANKAYA/ANKARA,1093
Genç Parti,Murat Hakan UZAN,NA,425 36 23,Hoşdere Caddesi Hasçalık Apartmanı No:194/6 Çankaya/ANKARA,25964
Ulusal Parti,Gökçe FIRAT ÇULHAOĞLU,2010-03-15,438 02 69,BAĞCILAR MAHALLESİ ŞEMSETTİN GÜNALTAY CADDESİ 277. SOKAK NO:1 DAİRE: 10 ÇANKAYA/ANKARA,38
Güç Birliği Partisi,Ali KARNAP,2020-02-24,,İşçi Blokları Mah. Muhsin Yazıcıoğlu Cad. Lavida City No:45/A Kat:10 ÇANKAYA/ANKARA,4132
Umuda Yürüyüş Partisi,,NA,,Mustafa Kemal Mah. 2124. Sok. No: 10/A Çankaya/ANKARA,NA
Güven Adalet ve Aydınlık Partisi,Zeynep GÖKSU,2017-10-03,491 85 43,Turan Güneş Bulvarı İlkbahar Mh. 590. Sk. Özşen Apartmanı No:5/1 Çankaya/ANKARA,38
Uyanış Partisi,Ahmet Mücahit AKKAN,2020-12-04,,Aşağı Öveçler Mah. Çetin Emeç Bulvarı 1322. Cad. No:75/8 Çankaya/Ankara,0
Güzel Parti,Hüseyin AKBULUT,2020-08-10,,Zübeyde Hanım Mah. Turgut Özal 1. Bulvarı Caddesi No: 78 Daire:15 Altın Han Apt. Altındağ/ANKARA,1174
Ulusun Partisi,Tuba KOYLAN,2023-03-13,,DİL DEVRİMİ CD. DOĞANKAYA SİTESİ SİT. ERYAMAN EVLERİ A8 BLOK DAİRE:27 ETİMESGUT/ANKARA,0
Hak ve Adalet Partisi,BURHAN ATAŞ,2012-04-27,0312 434 04 42,Selanik Cad. No: 72/10 Kat:2 Çankaya/Ankara,1658
Ülkem Partisi,Neşet DOĞAN,2019-05-09,,GMK Bulvarı No:29/14 Çankaya/ANKARA,2625
Hak ve Hakikat Partisi,Kenan GÜNEŞ - Serkan ARSLAN,NA,472 66 27,Ceyhun Atıf Kansu cad 1268 Sok 2/6 Balgat/Çankaya/Ankara,119
Vatan Partisi,Doğu PERİNÇEK,1992-03-02,231 81 11,"Aşağı Öveçler Mahallesi, 1308. Sokak No:12 Çankaya/ANKAR",15993
Hak ve Huzur Partisi,Gürsel YILDIZ,2014-07-15,,Sağlık Mah. Sağlık 1. Sok No: 13/6 Çankaya/Ankara,128
Vatan Severler Partisi,YILMAZ GÜLÜMSER,2021-09-20,,Ehlibeyt Mahallesi Ceyhun Atuf Kansu Caddesi No:129/2 Balgat Çankaya/ANKARA,306
Hak ve Özgürlükler Partisi,Düzgün Kaplan,NA,434 35 01,Mithatpaşa Cad.No:24/11 K:6 Kızılay/ANKARA,1792
Vatan ve Hürriyet Partisi,Yalçın DOĞAN,2020-12-24,,Kültür Mah. Mithatpaşa Cad. No: 61/13 Çankaya/ANKARA,1131
Halkın Kurtuluş Partisi,Nurullah Efe,2005-06-15,424 06 18,Meşrutiyet Cad.. Karanfil Sok N0:24/15 Kızılay/Ankara,1124
Yeni Türkiye Partisi,Engin YILMAZ,2013-02-08,442 56 72,Yıldızevler Mah. Rabindranath Tagore Cad. No:11-9 Çankaya/Ankara,59524
Halkın Sesi Partisi,,NA,,Beytepe Mah. Kanuni Sultan Süleyman Bulvarı 5387. Cad. Mira Ofis Kat:4 Daire:15 Çankaya/ANKARA,NA
Yeniden Diriliş Partisi,İsa İLYASOĞLU,2021-06-08,,GMK Bulvarı No:29/13 Çankaya / Ankara,338
Halkın Umudu Partisi,Davut GÜLER,2023-07-28,,KORKUTREİS MAH. NECATİBEY CD. NO: 44 / 32 Çankaya/ANKARA,NA
Yeniden Refah Partisi,Muhammed Ali Fatih Erbakan,2018-11-23,,Balgat Mahallesi 1421. Sokak No:15 Balgat/Çankaya/ANKARA,269391
Halkların Demokratik Partisi,Sultan ÖZCAN - Cahit KIRKAZAK,2012-10-15,0312 310 03 13 - 427 17 80,Barbaros Mah. Tahran Cad. Büklüm Sokak No:117 Çankaya/ANKARA,45302
Yenilik Partisi,Öztürk YILMAZ,2020-07-20,,Atatürk Bulvarı no: 231/16 Kavaklıdere-Çankaya/ANKARA,3948
Halkların Eşitlik ve Demokrasi Partisi,Tulay HATIMOĞULLARI ORUÇ - Tuncer BAKIRHAN,2012-11-30,434 1169,Oğuzlar Mah. 1388. Cad. 32. Sokak No:37 Balgat/Ankara,3052
Yeni Yol Partisi,,2020-05-04,,İvedik (OSB) Mahallesi 1403. Sokak No:25 Yenimahalle/ANKARA,0
Hür Dava Partisi,Zekeriya YAPICIOĞLU,2012-12-19,472 4832,EHLİBEYT MAH CEYHUN ATIF KANSU CAD NEHİR APT 117/5 BALGAT,11589
İşçi Demokrasisi Partisi,Oktay ÇELİK,2015-08-21,284 93 88,Demirlibahçe Mahallesi No:4 Daire:2 Mamak/ANKARA,0
Yerli ve Milli Parti,Teoman MUTLU,2023-07-28,,AZİZİYE MAH. PİYADE SK. NO: 27 ÇANKAYA/ANKARA,NA
İşçinin Kendi Partisi,Sevim KAÇMAZ,NA,391 20 54,Korkut Reis Mahallesi İlkiz Sokak 12/3 Çankaya/Ankara,109
Yurt Partisi,Sadettin TANTAN,2002-03-14,418 90 34,MEŞRUTİYET  CAD BAYINDIR 2 SOK 59/5 KIZILAY,70
İyi Parti,Meral AKŞENER,2017-10-25,408 08 08,MUSTAFA KEMAL MAHALLESİ 2120. CADDE NO:9 ÇANKAYA/ANKARA,617513
Yüce Diriliş Partisi,Lütfü YILMAZ,2007-04-16,230 54 30,GAZİ MUSTAFA KEMAL BULVARI 39/10 ANK,135
Kadın Partisi,Fatma Benal YAZGAN,2014-06-26,(0312) 266 72 91,Tunalı Hilmi Caddesi Gümüşsoy pasajı No:79/29 Kavaklıdere/ANKARA,0
Yükseliş Partisi,Nail ÇAKIR,2021-10-21,,MALTEPE MAH. GMK BLV. NO: 67 / 4 ÇANKAYA/ANKARA,0
Zafer Partisi,Ümit ÖZDAĞ,2021-08-26,,Nasuh Akar Mahallesi 1400. Cadde No:10 Çankaya/ANKARA,25535
Kızılelma Birliği Partisi,Yalçın DURSUN,2023-03-06,,SÖĞÜTÖZÜ MAH. YAŞAM CAD. AKPLAZA BLOK NO: 7 / 17 ÇANKAYA/ANKARA,0
