Party_Name,Chair,Founded,Telephone,Address,Member_Count
ÖTÜKEN BİRLİĞİ PARTİSİ,Çağatay Korkut KÖRÜKLÜ,20.12.2017,,Cihan Sokak No:21/5 Sıhhiye/ANKARA,0
Büyük İktidar Partisi,Selamettin TELLİOĞLU,22.05.2023,,Kızılırmak Mah. Dumlupınar Bulvarı B blok 45/806 Next Level Rezidans bloğu Çukurambar Çankaya/ANKARA,0
Özgürlük ve Sosyalizm Partisi,Sinan ÇİFTYÜREK,21.12.2011,434 19 20,Fidanlık Mahallesi Sağlık 1 sokak No: 55/7 Kızılay - ANKARA,106
Büyük Türkiye Partisi,Ali GÖKKAN,19.08.2024,,ÖVEÇLER M AH. 1322 CD. NO: 9 / 2 ÇANKAYA/ANKARA,0
Saadet Partisi,Mahmut ARIKAN,20.07.2001,284 88 00,Zübeyde Hanım Mahallesi Tesviyeciler Caddesi No:31 Altındağ/ANKARA,232.928
Cihan Partisi,Kürşad Emre ÖĞRETMEK,06.08.2014,0312 324 20 14,Anafartalar Mah. Soydaşlar Sk. 10/11 Altındağ/Ankara,133
Sağ Parti,Uğur GÜZEL,30.09.2024,,BEŞTEPE MAH. NERGİS SK. VİAFLAT PLAZA SİT. NO: 7/2 / 32 YENİMAHALLE/ANKARA,231
Cumhuriyet Partisi,Osman Karakuş,28.12.2023,,KORKUTREİS MAH. NECATİBEY CAD. SEZENLER SOKAK NO:2/10 ÇANKAYA-ANKARA,91
Sağduyu Partisi,Mehmet Yücel AĞARGÜN,04.09.2002,230 45 49,STRAZBURG CAD N0:28/8 SIHHIYE/ANKARA,0
Cumhuriyet Halk Partisi,Özgür ÖZEL,09.09.1992,207 40 00,SÖĞÜTÖZÜ ANADOLU BLV. N0:12 ANKARA,1.531.944
Sevgi ve Saygı Partisi,Ahmet Fatih ERDİLLİ,23.03.2021,,Tuzluçayır mah. 588 sk. No: 4 / 12 Mamak/ANKARA,61
Cumhuriyet ve Adalet Partisi,Ahmet SEVİM,15.04.2021,,İvedik organize mah. 1354 cd. No: 85 / 3 Yenimahalle/ANKARA,11.610
Sol Parti,Önder İŞLEYEN,08.06.1994,231 72 32,Kültür Mahallesi Mithatpaşa Caddesi No:45/15 Çankaya/Ankara,5.894
Cumhuriyet ve İstiklal Partisi,Atakan BOZYAYLA,10.08.2020,,Gazi Mah. Silahtar Cad. No: 78 Yenimahalle/ANKARA,841
Son Parti,Murat ÇOBANOĞLU,01.10.2024,,MALTEPE MAH. GAZİ MUSTAFA KEMAL (GMK) BLV. NO: 45 / 11 ÇANKAYA/ANKARA,40
Cumhuriyetçi Aydınlık Partisi,Serpil KAZOLUK,21.08.2024,,AŞAĞI EĞLENCE MAH. BERÇİN SK. Emir Apt. NO: 16 / 11 KEÇİÖREN/ANKARA,2.082
Sosyal Demokrat Halkçı Parti,Burak ÇELİK,28.06.2024,,MEŞRUTİYET MAH. KARANFİL SK. NO: 4 / 91 ÇANKAYA/ANKARA,0
